"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","wine_type","Year1"
"109","Apogee Pepper Bridge Vineyard 2013","United States","Walla Walla Valley","L'Ecole No 41",4.1,103,46.9,"tinto","2013"
"110","Gamma Red Blend 2018","Spain","Navarra","Bodegas Piedemonte",3.4,103,6.15,"tinto","2018"
"111","Peyres Nobles Rouge 2018","France","Corbières","Château Camplong",4,103,6.5,"tinto","2018"
"112","Lemartine Toscana 2015","Italy","Toscana","Poggio Antico",4.1,103,29.67,"tinto","2015"
"113","Organic Cabernet 2018","Australia","South Australia","Farm Hand",3.7,103,7.79,"tinto","2018"
"114","Malterdinger Alte Reben Spätburgunder 2016","Germany","Baden","Bernhard Huber",4.1,103,38.69,"tinto","2016"
"115","Cabernet Franc 2012","South Africa","Franschhoek","Anthonij Rupert",4.2,103,59.95,"tinto","2012"
"116","Bramare Rebon Vineyard Malbec 2017","Argentina","Mendoza","Viña Cobos",4.6,103,75.07,"tinto","2017"
"117","Merlot Reserva 2008","Brazil","Vale dos Vinhedos","Pizzato",3.2,103,15.9,"tinto","2008"
"118","Brunello di Montalcino Pianrosso 2015","Italy","Brunello di Montalcino","Ciacci Piccolomini d'Aragona",4.4,103,66.29,"tinto","2015"
"119","François de Tournon Saint-Joseph 2016","France","Saint-Joseph","Delas",3.9,103,29.15,"tinto","2016"
"120","Estibals Minervois 2018","France","Minervois","L'Ostal Cazes",3.6,103,10.99,"tinto","2018"
"121","Barbera - Garnacha 2017","Chile","Maule Valley","Erasmo",3.5,103,12.62,"tinto","2017"
"122","Roi des Lézards 2014","France","Côtes Catalanes","Domaine Les Enfants Sauvages",3.9,103,19.4,"tinto","2014"
"123","Saint-Julien (Grand Cru Classé) 2006","France","Saint-Julien","Château Branaire-Ducru",3.9,1030,59.54,"tinto","2006"
"124","Médoc 2012","France","Médoc","Château Potensac",3.8,1033,39.69,"tinto","2012"
"125","Pieve Santa Restituta Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Gaja",4.3,1035,59.9,"tinto","2014"
"126","Gran Maestro Primitivo di Manduria 2017","Italy","Primitivo di Manduria","Maestro Italiano",4.1,1036,9.75,"tinto","2017"
"127","Saint-Julien (Grand Cru Classé) 2011","France","Saint-Julien","Château Léoville Barton",4.2,1037,87.24,"tinto","2011"
"128","Inferno (Aged in Whiskey Barrels - Limited Release) 2017","United States","California","Apothic",3.8,1037,14.56,"tinto","2017"
"129","Faithful Hound Red 2015","South Africa","Stellenbosch","Mulderbosch",4,1038,14.9,"tinto","2015"
"130","Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012","Italy","Amarone della Valpolicella","Masi",4.3,1039,69,"tinto","2012"
"131","Rosso di Montalcino 2018","Italy","Rosso di Montalcino","Talenti",3.7,104,14.43,"tinto","2018"
"132","Chianti 2017","Italy","Chianti","Sammontana",3.7,104,8.9,"tinto","2017"
"133","Azul 2015","Spain","Ribera del Queiles","Guelbenzu",3.8,104,6.99,"tinto","2015"
"134","Sanct Valentin Riserva Pinot Noir 2017","Italy","Südtirol - Alto Adige","St. Michael-Eppan",4.1,104,33.2,"tinto","2017"
"135","Mas Collet Barrica 2009","Spain","Montsant","Capçanes",3.5,104,21.91,"tinto","2009"
"136","Valpolicella Ripasso Classico Superiore 2016","Italy","Valpolicella Ripasso Classico","Paolo Cottini",4,104,16.9,"tinto","2016"
"137","Toscana Poggio Ai Merli 2016","Italy","Toscana","Castellare",4.3,104,69,"tinto","2016"
"138","Viña Aljibes Red Blend 2016","Spain","Castilla","Finca Los Aljibes",3.4,104,8.2,"tinto","2016"
"139","Châteauneuf-du-Pape (La Crau) 2017","France","Châteauneuf-du-Pape","Domaine du Vieux Télégraphe",4.4,104,79.95,"tinto","2017"
"140","Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015","France","Châteauneuf-du-Pape","Pierre Amadieu",4,104,26.23,"tinto","2015"
"141","Mencia 2015","Spain","Valdeorras","Viña Costeira",3.2,104,8.28,"tinto","2015"
"142","Santenay Clos de Malte 2016","France","Santenay","Louis Jadot",4.1,104,32,"tinto","2016"
"143","Sudisfà Roero Riserva 2015","Italy","Roero","Negro Angelo",4.1,104,29.9,"tinto","2015"
"144","Léa Les Aspres Côtes du Roussillon Rouge 2012","France","Côtes du Roussillon","Domaine Lafage",4,104,19.95,"tinto","2012"
"145","Alleanza 2012","Italy","Toscana","Castello di Gabbiano",4.1,104,26.95,"tinto","2012"
"146","Valpolicella Ripasso Classico Superiore Solane 2015","Italy","Valpolicella Ripasso","Santi",3.7,1040,14.75,"tinto","2015"
"147","Crianza 2015","Spain","Binissalem-Mallorca","Bodegas José L. Ferrer",3.8,1040,11.95,"tinto","2015"
"148","Courela Tinto 2016","Portugal","Alentejano","Cortes de Cima",3.6,1040,5.65,"tinto","2016"
"149","Barbera d'Alba Tre Vigne 2015","Italy","Barbera d'Alba","Vietti",3.8,1040,19.5,"tinto","2015"
"150","No Name 2014","Italy","Piemonte","Borgogno",4,1041,34.32,"tinto","2014"
"151","Rioja Bordón Reserva 2011","Spain","Rioja","Franco-Espanolas",3.8,1045,10.85,"tinto","2011"
"152","Pian delle Vigne Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Antinori",4.3,1046,45.6,"tinto","2014"
"153","Almiréz 2016","Spain","Toro","Teso La Monja",4,1046,14.95,"tinto","2016"
"154","Colheita Seleccionada Rouge 2010","Portugal","Alentejano","Rapariga da Quinta",3.2,1046,11.7,"tinto","2010"
"155","Ammasso Rosso Sicilia 2016","Italy","Sicilia","Barone Montalto",4.2,1047,16.34,"tinto","2016"
"156","Côtes du Rhône Nature Rouge 2016","France","Côtes-du-Rhône","Famille Perrin",3.6,1049,10.45,"tinto","2016"
