"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","wine_type","Year1"
"5485","Saint-Julien (Grand Cru Classé) 2011","France","Saint-Julien","Château Langoa Barton",4.1,485,66.28,"tinto","2011"
"5486","Cannubi Barolo 2014","Italy","Barolo","Marchesi di Barolo",4.3,485,49.9,"tinto","2014"
"5487","Varietal Merlot 2017","Chile","Colchagua Valley","Santa Helena",3.4,485,4.89,"tinto","2017"
"5488","Margaux (Grand Cru Classé) 2015","France","Margaux","Château Brane-Cantenac",4.2,486,87.24,"tinto","2015"
"5489","Malbec 2018","Argentina","Mendoza","Pascual Toso",3.8,486,10.01,"tinto","2018"
"5490","Rosso Dei Notri Toscana 2014","Italy","Toscana","Tua Rita",3.8,486,16.9,"tinto","2014"
"5491","Pinot Noir 2015","United States","California","Gnarly Head",3.6,486,12.1,"tinto","2015"
"5492","Villa Antinori Chianti Classico Riserva 2015","Italy","Chianti Classico","Antinori",4,4865,19.7,"tinto","2015"
"5493","Duluc de Branaire-Ducru Saint-Julien (Chateau Duluc) 2014","France","Saint-Julien","Château Branaire-Ducru",4.1,487,36.06,"tinto","2014"
"5494","Gigondas 2016","France","Gigondas","Château de Saint Cosme",4.1,487,33,"tinto","2016"
"5495","Valpolicella Ripasso 2016","Italy","Valpolicella Ripasso","Sartori",3.8,487,14.27,"tinto","2016"
"5496","Pessac-Léognan 2008","France","Pessac-Léognan","Château Larrivet Haut-Brion",4,487,49.95,"tinto","2008"
"5497","Saint-Julien (Grand Cru Classé) 2005","France","Saint-Julien","Château Langoa Barton",4.1,488,89.95,"tinto","2005"
"5498","Reserva Especial Carmenère 2018","Chile","Cachapoal Valley","Cono Sur",3.7,488,9.49,"tinto","2018"
"5499","Syrah 2016","Italy","Terre Siciliane","Barone Montalto",3.6,488,8.29,"tinto","2016"
"5500","La Garnacha Perdida 2017","Spain","Priorat","Proyecto Garnachas de España",4,489,18.95,"tinto","2017"
"5501","Sàgana (Tenuta San Giacomo) 2014","Italy","Sicilia","Cusumano",3.9,489,22.9,"tinto","2014"
"5502","Reserve Cabernet Sauvignon - Merlot 2014","New Zealand","Hawke's Bay","Villa Maria",4.1,49,24.89,"tinto","2014"
"5503","Estate Syrah (Seven Hills Vineyard) 2015","United States","Walla Walla Valley","L'Ecole No 41",4.1,49,34.5,"tinto","2015"
"5504","Rosenberg 2017","Austria","Carnuntum","Markowitsch",4.1,49,32.9,"tinto","2017"
"5505","Douro Reserva Fabelhaft 2015","Portugal","Douro","Niepoort",3.6,49,14.84,"tinto","2015"
"5506","Dolcetto D'Alba Rossana 2018","Italy","Dolcetto d'Alba","Ceretto",3.7,49,16.48,"tinto","2018"
"5507","Cannubi Boschis Barolo 2014","Italy","Barolo","Virna",4,49,61.98,"tinto","2014"
"5508","Kaiserstuhl Spätburgunder 2018","Germany","Baden","Weingut Holger Koch",3.5,49,9.9,"tinto","2018"
"5509","Côte-Rôtie 'La Viallière' 2016","France","Côte-Rôtie","Bonserine",4.1,49,67.26,"tinto","2016"
"5510","Katzenbeisser Lemberger Trocken 2016","Germany","Württemberg","Lauffener",3,49,8.06,"tinto","2016"
"5511","Lagrein Granat 2018","Italy","Südtirol - Alto Adige","Franz Gojer",3.8,49,13.9,"tinto","2018"
"5512","Sainte-Épine Saint-Joseph 2013","France","Saint-Joseph","Delas",3.8,49,53.51,"tinto","2013"
"5513","Rasteau Les Valats 2016","France","Rasteau","Alain Jaume",3.8,49,13.55,"tinto","2016"
"5514","Vie Cave Maremma Toscana 2016","Italy","Maremma Toscana","Fattoria Aldobrandesca",4,49,24.5,"tinto","2016"
"5515","Pfarrwingert Spätburgunder 2016","Germany","Ahr","Meyer - Näkel",4.3,49,54,"tinto","2016"
"5516","Crianza 2016","Spain","Rioja","Finca Athus",3.8,49,9,"tinto","2016"
"5517","Don Camillo Sangiovese 2017","Italy","Terre di Chieti","Farnese",3.8,49,8.9,"tinto","2017"
"5518","Estoras 2016","Austria","Burgenland","Esterházy",3.5,49,8.55,"tinto","2016"
"5519","Syrah 2017","France","Costières-de-Nîmes","Michel Gassier",3.6,49,9.78,"tinto","2017"
"5520","Shiraz 2015","South Africa","Bot River","Luddite",4.4,49,36.9,"tinto","2015"
"5521","Campill 2015","Italy","Vigneti delle Dolomiti","Pranzegg",3.9,49,23.06,"tinto","2015"
"5522","Tinto 2014","Spain","La Mancha","Quinta de Quercus",3.9,49,33.68,"tinto","2014"
"5523","Castagnino Syrah 2017","Italy","Cortona","Fabrizio Dionisio",3.8,49,13.64,"tinto","2017"
"5524","Les Loustics 2014","France","Vin de France","La Petite Baigneuse",3.7,49,14.52,"tinto","2014"
"5525","Gigondas 2017","France","Gigondas","Domaine Palon",3.9,49,17.38,"tinto","2017"
"5526","Alte Reben Spätburgunder 2016","Germany","Baden","Bernhard Huber",4,49,34.9,"tinto","2016"
"5527","Côtes du Rhône Rouge 2018","France","Côtes-du-Rhône","Château de Manissy",3.5,49,8.68,"tinto","2018"
"5528","Châteauneuf-du-Pape 2016","France","Châteauneuf-du-Pape","Domaine Pierre André",4,49,39.15,"tinto","2016"
"5529","Riserva Teroldego Rotaliano 2015","Italy","Teroldego Rotaliano","Mezzacorona",3.6,49,6.99,"tinto","2015"
"5530","La Groletta Amarone della Valpolicella 2017","Italy","Amarone della Valpolicella","Corte Giara",4.1,49,25.99,"tinto","2017"
"5531","Old Vine Zinfandel 2016","United States","Sonoma County","Ravenswood",4,49,25.99,"tinto","2016"
"5532","Plenum Amarone della Valpolicella 2011","Italy","Amarone della Valpolicella","Villa Canestrari",4.1,49,44.74,"tinto","2011"
"5533","Tempranillo - Syrah 2017","Spain","Valencia","Marqués de Monte Meru",3.4,49,4.86,"tinto","2017"
"5534","Bordeaux Supérieur 2015","France","Bordeaux Supérieur","Château le Bedat",4.1,49,12.75,"tinto","2015"
"5535","Asili Barbaresco 2012","Italy","Barbaresco","Cascina Luisin",4,49,38.6,"tinto","2012"
"5536","Cabernet Sauvignon 2011","Spain","Cariñena","Campo Marin",3.7,49,7.44,"tinto","2011"
"5537","Les Pins Pessac-Léognan 2015","France","Pessac-Léognan","Château d'Alix",3.8,49,19.49,"tinto","2015"
"5538","Comondor 2016","Austria","Burgenland","Anita Nittnaus Hans",4.2,49,44.91,"tinto","2016"
"5539","Ameri 2017","Argentina","Tupungato","Domaine Bousquet",4.3,49,24,"tinto","2017"
"5540","Côtes du Roussillon 2017","France","Côtes du Roussillon","Domaine de Fontclare",3.6,49,16.38,"tinto","2017"
"5541","Spätburgunder 2018","Germany","Ahr","Jean Stodden",3.5,49,12.99,"tinto","2018"
"5542","Hensel und Gretel Witch Hunter Spätburgunder 2014","Germany","Pfalz","Schneider",3.9,49,17.95,"tinto","2014"
"5543","La Singuliere Chinon 2012","France","Chinon","Domaine Olga Raffault",3.7,49,25.9,"tinto","2012"
"5544","Talvin 2016","Spain","Mallorca","Ses Talaioles",4.2,49,12.18,"tinto","2016"
"5545","Tschuppen 2016","Germany","Baden","Ziereisen",3.6,49,12,"tinto","2016"
"5546","Shotfire Shiraz 2016","Australia","Barossa","Thorn-Clarke",3.9,490,22.39,"tinto","2016"
"5547","Barón de Chirel Rioja Reserva 2012","Spain","Rioja","Marqués de Riscal",4.4,490,67.95,"tinto","2012"
"5548","Margaux (Grand Cru Classé) 2016","France","Margaux","Château Giscours",4.1,490,82.37,"tinto","2016"
"5549","Medium Sweet Tinto 2018","Portugal","Lisboa","Portada",4,490,6.83,"tinto","2018"
"5550","Gigondas La Gille 2017","France","Gigondas","Famille Perrin",4,490,22.9,"tinto","2017"
"5551","Il Pino di Biserno 2017","Italy","Toscana","Biserno",4.4,490,47.99,"tinto","2017"
"5552","Barón de Chirel Rioja Reserva 2014","Spain","Rioja","Marqués de Riscal",4.3,491,84.11,"tinto","2014"
"5553","Réserve Graves Rouge 2016","France","Graves","Mouton Cadet",3.7,491,14.06,"tinto","2016"
"5554","Saint-Émilion Grand Cru (Grand Cru Classé) 2006","France","Saint-Émilion Grand Cru","Château Quinault l'Enclos",3.9,491,35.95,"tinto","2006"
"5555","Ghi kai Uranos Xinomavro 2016","Greece","Naoussa","Thymiopoulos",4.1,492,21.9,"tinto","2016"
"5556","Sexy Beast Cabernet Sauvignon 2018","Australia","McLaren Vale","Two Hands",4.1,493,24.5,"tinto","2018"
"5557","Vigna del Sorbo Gran Selezione Chianti Classico 2011","Italy","Chianti Classico","Fontodi",4.2,493,39.95,"tinto","2011"
"5558","Les Sorcières Côtes du Roussillon Rouge 2018","France","Côtes du Roussillon","Domaine du Clos des Fées",3.7,493,16.31,"tinto","2018"
"5559","Toscana Red 2015","Italy","Toscana","Montevertine",4.1,493,53.25,"tinto","2015"
"5560","Bin 2 Shiraz - Mourvèdre 2017","Australia","South Australia","Penfolds",3.8,493,24.15,"tinto","2017"
"5561","The Short Story Collection The Owl Post Pinotage 2017","South Africa","Stellenbosch","Neethlingshof Estate",4.1,494,17.5,"tinto","2017"
"5562","Merlot 2016","Italy","Terre Siciliane","Cusumano",3.5,494,7.5,"tinto","2016"
"5563","Croix Canon Saint-Émilion Grand Cru 2011","France","Saint-Émilion Grand Cru","Château Canon",3.9,494,44.62,"tinto","2011"
"5564","Cellar Selection Cabernet Sauvignon 2017","South Africa","Stellenbosch","Kleine Zalze",3.5,495,9.5,"tinto","2017"
"5565","Merlot - Cabernet 2014","United States","Columbia Valley","Two Vines",3.5,495,8.39,"tinto","2014"
"5566","Priorat 2016","Spain","Priorat","Clos Mogador",4.5,495,77.01,"tinto","2016"
"5567","Nero d'Avola Sicilia 2018","Italy","Terre Siciliane","Settesoli",3.4,495,5.79,"tinto","2018"
"5568","Médoc 2011","France","Médoc","Château La Gorce",3.9,495,23,"tinto","2011"
"5569","Estate Cabernet Sauvignon 2018","Chile","Aconcagua Valley","Errazuriz",3.6,496,9.5,"tinto","2018"
"5570","Laforet Bourgogne Pinot Noir 2018","France","Bourgogne","Joseph Drouhin",3.8,497,15,"tinto","2018"
"5571","Tinto 2016","Spain","Ribera del Duero","Valderiz",4.1,497,22.5,"tinto","2016"
"5572","Floramundi 2017","Italy","Cerasuolo di Vittoria","Donnafugata",3.7,497,13.9,"tinto","2017"
"5573","Tinto (Selección / Garnacha) 2017","Spain","Campo de Borja","Borsao",3.5,498,6.73,"tinto","2017"
"5574","Margaux (Grand Cru Classé) 2013","France","Margaux","Château du Tertre",3.8,498,42,"tinto","2013"
"5575","Rioja Crianza 2016","Spain","Rioja","Viña Real",3.5,498,7.7,"tinto","2016"
"5576","Crianza 2016","Spain","Valdepeñas","Viña Albali",3.3,498,5.33,"tinto","2016"
"5577","Valpolicella Ripasso Classico Superiore 2017","Italy","Valpolicella Ripasso Classico","Monte del Frá",3.9,499,11.16,"tinto","2017"
"5578","Glárima Merlot - Tempranilllo 2018","Spain","Somontano","Bodega Sommos",3.5,499,6.45,"tinto","2018"
"5579","Rosso di Montepulciano 2017","Italy","Rosso di Montepulciano","Avignonesi",3.6,499,10.15,"tinto","2017"
"5580","Reserva Teroldego 2016","Brazil","Serra Gaúcha","Don Guerino",3.8,499,14.57,"tinto","2016"
"5581","Chianti Rufina Vigneto Bucerchiale Riserva 2015","Italy","Chianti Rùfina","Selvapiana",4.1,499,21.9,"tinto","2015"
"5582","Black Cab Cabernet - Baco Noir 2016","Canada","Ontario","EastDell",3.3,50,14.95,"tinto","2016"
"5583","Rioja Gran Reserva 2013","Spain","Rioja","Luis Cañas",3.9,50,20.75,"tinto","2013"
"5584","Pinot Noir Estate Grown 2016","United States","Los Carneros","Schug",4,50,63.15,"tinto","2016"
"5585","Barrica Monastrell - Syrah 2018","Spain","Valencia","Vermador",3.3,50,6.65,"tinto","2018"
"5586","Barbera d'Alba 2018","Italy","Barbera d'Alba","Enzo Boglietti",3.9,50,14.5,"tinto","2018"
"5587","Cabernet Sauvignon 2015","Austria","Burgenland","Leo Hillinger",3.6,50,19.91,"tinto","2015"
"5588","Amarone della Valpolicella Classico 2014","Italy","Amarone della Valpolicella Classico","Cottini",4.1,50,40.34,"tinto","2014"
"5589","Capitel Monte Olmi Amarone della Valpolicella Classico Riserva 2013","Italy","Valpolicella","Tedeschi",4.4,50,56.9,"tinto","2013"
"5590","Leithaberg Blaufränkisch 2016","Austria","Neusiedlersee-Hügelland","Esterházy",4,50,14.73,"tinto","2016"
"5591","Alterego 2013","Italy","Monferrato","Coppo",3.5,50,18.42,"tinto","2013"
"5592","Ambrosan Amarone della Valpolicella Classico 2010","Italy","Amarone della Valpolicella Classico","Nicolis",4.2,50,59.9,"tinto","2010"
"5593","Barolo Fossati 2013","Italy","Barolo","Borgogno",3.9,50,68.03,"tinto","2013"
"5594","Valpolicella Classico 2019","Italy","Valpolicella Classico","Bolla",2.8,50,9.49,"tinto","2019"
"5595","Susumaniello 2018","Italy","Puglia","Epicuro",4,50,12.5,"tinto","2018"
"5596","Castillon Côtes de Bordeaux 2005","France","Castillon - Côtes de Bordeaux","Château Brisson",3.7,50,19.95,"tinto","2005"
"5597","Belpasso Rosso 2017","Italy","Veneto","Allegrini",3.5,50,8.4,"tinto","2017"
"5598","Silvestre Carmenère 2016","Chile","Rapel Valley","Ochagavia",3.7,50,8.44,"tinto","2016"
"5599","La Caduta Rosso di Montalcino 2016","Italy","Rosso di Montalcino","Caparzo",3.9,50,16.9,"tinto","2016"
"5600","Malleolus 2004","Spain","Ribera del Duero","Emilio Moro",4.3,50,99,"tinto","2004"
"5601","Sanct Valentin Lagrein Riserva 2017","Italy","Südtirol - Alto Adige","St. Michael-Eppan",4.1,50,40.96,"tinto","2017"
"5602","Pannobile 2014","Austria","Burgenland","Claus Preisinger",3.8,50,27.7,"tinto","2014"
"5603","Château des Jacques Moulin-à-Vent 2017","France","Moulin-à-Vent","Louis Jadot",3.6,50,20.81,"tinto","2017"
"5604","La Tartufaia Langhe Pinot Nero 2016","Italy","Langhe","Giulia Negri",3.8,50,25.24,"tinto","2016"
"5605","Merlot 2017","France","Pays d'Oc","La Chevalière",3.3,50,9.23,"tinto","2017"
"5606","Jeunes Vignes 2016","France","Côtes Catalanes","Domaine Clos du Rouge Gorge",3.7,50,24.75,"tinto","2016"
"5607","Reserva Cabernet Sauvignon 2017","Chile","Central Valley","de Gras",3.5,50,8.5,"tinto","2017"
"5608","Rubesco Rosso di Torgiano 2018","Italy","Torgiano","Lungarotti",3.6,50,8.9,"tinto","2018"
"5609","Duca del Salento Primitivo 2018","Italy","Salento","San Donaci",3.7,50,6,"tinto","2018"
"5610","Endinger Engelsberg Spätburgunder Alte Reben 2015","Germany","Baden","Knab",3.6,50,17.49,"tinto","2015"
"5611","Ansisa Barbera d'Alba 2016","Italy","Barbera d'Alba","Vite Colte",3.8,50,6.9,"tinto","2016"
"5612","Shiraz 2016","South Africa","Stellenbosch","Delheim",3.8,50,13.5,"tinto","2016"
"5613","Synthesi 2015","Italy","Aglianico del Vulture","Paternoster",3.7,50,10.9,"tinto","2015"
"5614","Pietra (Primitivo - Susumaniello) 2018","Italy","Salento","Menhir",4,50,10.86,"tinto","2018"
"5615","Merlot 2019","Chile","Central Valley","Antares",3.2,50,5.33,"tinto","2019"
"5616","Barolo La Serra 2012","Italy","Barolo","Mauro Molino",4.3,50,46.5,"tinto","2012"
"5617","Cabernet Sauvignon 2016","South Africa","Stellenbosch","Peter Falke",3.9,50,17.9,"tinto","2016"
"5618","Poggio Apricale Rosso di Montalcino 2014","Italy","Rosso di Montalcino","Martoccia",4,50,13.19,"tinto","2014"
"5619","Méria Maremma Toscana 2014","Italy","Maremma Toscana","Serpaia di Endrizzi",4,50,17.4,"tinto","2014"
"5620","In Signo Sagittarii 2008","Austria","Burgenland","Heribert Bayer",4.3,50,35.65,"tinto","2008"
"5621","Côtes du Rhône Nature 2017","France","Côtes-du-Rhône","Clos du Caillou",3.7,50,18.27,"tinto","2017"
"5622","Battiferro Morellino di Scansano 2018","Italy","Morellino di Scansano","Grillesino",3.6,50,9.99,"tinto","2018"
"5623","Special Reserve Carmenère 2017","Chile","Colchagua Valley","Siegel",3.3,50,12.62,"tinto","2017"
"5624","Whale Pod Syrah - Merlot 2017","South Africa","Walker Bay","Creation",3.8,50,10,"tinto","2017"
"5625","Cuvée Classic Rot 2017","Austria","Burgenland","Salzl Seewinkelhof",3.5,50,10.69,"tinto","2017"
"5626","La Mateo Parcelas Singulares 2015","Spain","Rioja","D. Mateos",4.2,50,36.74,"tinto","2015"
"5627","Le Cap Maritime Pinot Noir 2017","South Africa","Coastal Region","Boekenhoutskloof",4,50,50.56,"tinto","2017"
"5628","Reserva Especial Icon Edition 2015","Spain","Rioja","Bodegas Faustino",3.7,50,35.5,"tinto","2015"
"5629","Les Tannes en Occitanie Merlot 2018","France","Pays d'Oc","Mas des Tannes",3.6,50,5.36,"tinto","2018"
"5630","Quona Chianti Rùfina Riserva 2016","Italy","Chianti Rùfina","Fattoria I Veroni",4.1,50,21.16,"tinto","2016"
"5631","La Creu Alta 2016","Spain","Priorat","Bodegas Mas Alta",4.4,50,86.76,"tinto","2016"
"5632","Saint-Julien (Grand Cru Classé) 2016","France","Saint-Julien","Château Talbot",4.2,500,94.24,"tinto","2016"
"5633","Garnacha 2017","Spain","Campo de Borja","El Casetero",3.5,501,6,"tinto","2017"
"5634","Valpolicella Ripasso (Classico Superiore) 2016","Italy","Valpolicella Ripasso","Tommasi",3.9,5016,17.75,"tinto","2016"
"5635","Tinta Barocca 2017","South Africa","Swartland","Allesverloren",3.7,502,10.53,"tinto","2017"
"5636","Petit Clos Pinot Noir 2017","New Zealand","Marlborough","Clos Henri Vineyard",3.6,503,15.9,"tinto","2017"
"5637","Puro Malbec 2018","Argentina","Mendoza","Dieter Meier",3.9,503,15.49,"tinto","2018"
"5638","1954 Primitivo Puglia 2016","Italy","Puglia","Cantine Paradiso",4.2,504,16.08,"tinto","2016"
"5639","Sandstone Merlot 2015","United States","Livermore Valley","Wente",3.8,504,10.71,"tinto","2015"
"5640","(B) Old Vine Zinfandel Lodi 2017","United States","Lodi","Brazin",4.1,504,15.9,"tinto","2017"
"5641","Médoc 2010","France","Médoc","Château Ramafort",3.8,504,19.9,"tinto","2010"
"5642","Résonance Pinot Noir 2015","United States","Willamette Valley","Résonance",4,504,50.33,"tinto","2015"
"5643","Brunello di Montalcino 2013","Italy","Brunello di Montalcino","Tenuta CastelGiocondo",4.2,5042,36.76,"tinto","2013"
"5644","Reserva Rioja (Finca Ygay) 2015","Spain","Rioja","Marqués de Murrieta",4.1,5048,17.44,"tinto","2015"
"5645","Mercurey 2016","France","Mercurey","Château de Chamirey",4,505,31.96,"tinto","2016"
"5646","Blason d'Aussières Corbières 2016","France","Corbières","Château d’Aussières",3.5,505,14.38,"tinto","2016"
"5647","Seccal Valpolicella Ripasso Classico Superiore 2016","Italy","Valpolicella Ripasso Classico","Nicolis",3.9,505,13.9,"tinto","2016"
"5648","Selvarossa Riserva 2015","Italy","Salice Salentino","Cantine due Palme",4.1,505,15.9,"tinto","2015"
"5649","Campaccio 2011","Italy","Toscana","Terrabianca",3.9,506,25.9,"tinto","2011"
"5650","Cabernet Sauvignon 2014","United States","California","Crane Lake",3,506,7.9,"tinto","2014"
"5651","120 'CCC' Cabernet Franc - Carmenère - Cabernet Sauvignon 2017","Chile","Central Valley","Santa Rita",3.4,507,6.34,"tinto","2017"
"5652","Auténtico Malbec 2018","Argentina","Cafayate Valley","Colomé",4.2,507,25.12,"tinto","2018"
"5653","Rioja Reserva 2014","Spain","Rioja","Castillo Clavijo",4.1,507,12.41,"tinto","2014"
"5654","Reius Amarone della Valpolicella Classico 2013","Italy","Amarone della Valpolicella","Sartori",4.1,507,29.9,"tinto","2013"
"5655","Château Paul Mas Coteaux du Languedoc Clos des Mures 2016","France","Languedoc","Paul Mas",3.8,507,25.79,"tinto","2016"
"5656","Les Griffons Pauillac 2015","France","Pauillac","Château Pichon Baron",4.1,507,48.64,"tinto","2015"
"5657","Single Vineyard Finca Valdelayegua Crianza 2016","Spain","Ribera del Duero","PradoRey",3.8,507,16.55,"tinto","2016"
"5658","Leonardo Brunello di Montalcino 2013","Italy","Brunello di Montalcino","Cantine Leonardo da Vinci",4.1,507,32.5,"tinto","2013"
"5659","Culmen Reserva Rioja 2011","Spain","Rioja","Lan",4.3,508,55.99,"tinto","2011"
"5660","Coma Vella Priorat 2013","Spain","Priorat","Mas d'en Gil",4.1,508,28.49,"tinto","2013"
"5661","Croix Canon Saint-Émilion Grand Cru 2012","France","Saint-Émilion Grand Cru","Château Canon",4.1,509,45.74,"tinto","2012"
"5662","Bin 138 Shiraz - Grenache - Mataro 2015","Australia","Barossa Valley","Penfolds",4,509,41.99,"tinto","2015"
"5663","La Poja (Monovitigno Corvina Veronese) 2013","Italy","Verona","Allegrini",4.2,509,61.41,"tinto","2013"
"5664","Barolo del Comune di Serralunga d'Alba 2013","Italy","Barolo","Tenuta Cucco",4.1,509,24.27,"tinto","2013"
"5665","Pauillac (Grand Cru Classé) 2015","France","Pauillac","Château d'Armailhac",4,509,79.89,"tinto","2015"
"5666","Colheita Seleccionada Tinto 2017","Portugal","Alentejano","Quinta do Paral",4,51,19.99,"tinto","2017"
"5667","Zinfandel Sonoma Heritage Vines 2017","United States","Dry Creek Valley","Rancho Zabaco",3.7,51,13.16,"tinto","2017"
"5668","Petresco 2013","Italy","Chianti Classico","Cinciole",4,51,37.97,"tinto","2013"
"5669","Christina Ribera del Duero 2016","Spain","Ribera del Duero","Astrales",4.3,51,41.92,"tinto","2016"
"5670","Bourgogne Pinot Noir 2016","France","Bourgogne","Domaine des Perdrix",3.7,51,40.59,"tinto","2016"
"5671","Cahors Malbec 2014","France","Cahors","Lionel Osmin & Cie",3.2,51,8.72,"tinto","2014"
"5672","Aglianico Beneventano 2017","Italy","Campania","Vesevo",3.6,51,6.5,"tinto","2017"
"5673","Tempranillo 2015","Spain","Ribera del Duero","Viñedos Milénico",3.9,51,37,"tinto","2015"
"5674","Winemaker Reserva Cabernet Sauvignon 2019","Chile","Rapel Valley","Valdivieso",3.7,51,9.7,"tinto","2019"
"5675","Sincaru Cannonau di Sardegna Riserva 2014","Italy","Cannonau di Sardegna","Surrau",4.1,51,19.3,"tinto","2014"
"5676","Moulis-en-Médoc 2016","France","Moulis-en-Médoc","Château Dutruch Grand Poujeaux",4.1,51,24.63,"tinto","2016"
"5677","Mount Hermon Cabernet Sauvignon 2019","Israel","Galilee","Hermon",3.8,51,11.46,"tinto","2019"
"5678","Le Masche Barbera d'Alba Superiore 2017","Italy","Barbera d'Alba","BelColle",3.9,51,11.19,"tinto","2017"
"5679","Spätburgunder Trocken 2017","Germany","Pfalz","Stern",4,51,11.47,"tinto","2017"
"5680","Villa Albergotti Riserva Chianti 2013","Italy","Chianti","Tipici dell'Aretino",3.4,51,9.9,"tinto","2013"
"5681","Primitivo di Manduria 2018","Italy","Primitivo di Manduria","Masseria Borgo dei Trulli",4,51,10.95,"tinto","2018"
"5682","Crianza 2015","Spain","Navarra","Bodegas Príncipe de Viana",3.5,51,6.32,"tinto","2015"
"5683","Otazu Edición Limitada Reserva Clásico 2012","Spain","Navarra","Bodega Otazu",3.9,51,13.55,"tinto","2012"
"5684","Côtes de Provence Rouge 2014","France","Côtes de Provence","Château des Sarrins",3.8,51,17.5,"tinto","2014"
"5685","Il Morino 2014","Italy","Toscana","Vignamaggio",3.5,51,9.25,"tinto","2014"
"5686","Brunello di Montalcino Poggio Al Granchio 2013","Italy","Brunello di Montalcino","Val di Suga",4.1,51,44.9,"tinto","2013"
"5687","Spätburgunder 2014","Germany","Pfalz","Oliver Zeter",3.4,51,10,"tinto","2014"
"5688","Brunello di Montalcino 2015","Italy","Brunello di Montalcino","Fossacolle",4.1,51,38.02,"tinto","2015"
"5689","Red Blend 2017","South Africa","Swartland","Badenhorst",3.9,51,24.49,"tinto","2017"
"5690","Saint-Chinian 2013","France","Saint-Chinian","Hecht & Bannier",3.3,51,14.45,"tinto","2013"
"5691","Red Blend 2016","Spain","Montsant","Intruso",3.9,51,8.96,"tinto","2016"
"5692","Alicante 2017","Spain","Alicante","El Sequé",4,51,24.18,"tinto","2017"
"5693","Salento Coribante 2018","Italy","Salento","Castello Monaci",3.9,51,8.9,"tinto","2018"
"5694","François de Tournon Saint-Joseph 2017","France","Saint-Joseph","Delas",3.9,51,34.02,"tinto","2017"
"5695","Charlie's Garden Shiraz 2015","Australia","Eden Valley","Two Hands",4.2,51,49.5,"tinto","2015"
"5696","Brauneberger Mandelgraben Pinot Noir 2009","Germany","Mosel","Markus Molitor",4.1,51,32.95,"tinto","2009"
"5697","Chianti Colli Senesi 2018","Italy","Chianti Colli Senesi","Poderi del Paradiso",3.7,51,8.2,"tinto","2018"
"5698","Montepulciano d'Abruzzo Riserva 2011","Italy","Montepulciano d'Abruzzo","Nobile delle Rocche",3.8,51,7.32,"tinto","2011"
"5699","Roca Roja Single Vineyard 2015","Spain","Priorat","Marco Abella",4.3,51,82.32,"tinto","2015"
"5700","Vürsù Barolo Campè 2015","Italy","Barolo","La Spinetta",4.3,51,96.5,"tinto","2015"
"5701","Bandol Rouge 2016","France","Bandol","Domaine de la Tour du Bon",3.9,51,20.67,"tinto","2016"
"5702","Melodias Winemaker Selection Malbec 2018","Argentina","Mendoza","Trapiche",3.5,51,7.45,"tinto","2018"
"5703","Norwood 2015","Australia","South Australia","Salomon Estate",3.7,51,16.5,"tinto","2015"
"5704","L'Esprit de l'Horizon Rouge 2013","France","Côtes Catalanes","Domaine de l'Horizon",3.9,51,21.34,"tinto","2013"
"5705","Amphora 2016","Portugal","Alentejano","Cortes de Cima",4,51,22.42,"tinto","2016"
"5706","Camparrón Crianza 2015","Spain","Toro","Francisco Casas",3.8,51,8.33,"tinto","2015"
"5707","Fatalis Fatum Red Blend 2016","United States","Long Island","Wölffer Estate",4.2,51,32.9,"tinto","2016"
"5708","Altura Máxima Malbec 2016","Argentina","Salta","Colomé",4.1,51,92.15,"tinto","2016"
"5709","4 Kilos 2017","Spain","Mallorca","4 Kilos Vinícola",3.8,51,29.99,"tinto","2017"
"5710","Arborina Barolo 2015","Italy","Barolo","Elio Altare",4.3,51,77.5,"tinto","2015"
"5711","Syrah - Viognier Sud de France 2017","France","Pays d'Oc","Arrogant Frog",3.5,51,7.75,"tinto","2017"
"5712","La Roche Mère Malbec de Cahors 2014","France","Cahors","Crocus",4.5,51,80,"tinto","2014"
"5713","Organic Nero di Troia 2017","Italy","Puglia","Maree d'Ione",4,510,6.95,"tinto","2017"
"5714","Pinot Noir 2017","New Zealand","Marlborough","Saint Clair",3.5,510,17.59,"tinto","2017"
"5715","Rosso di Montalcino 2015","Italy","Rosso di Montalcino","Tenuta Il Poggione",3.8,510,16.39,"tinto","2015"
"5716","Estate Cabernet Sauvignon 2016","United States","Santa Cruz Mountains","Ridge Vineyards",4.2,510,81.58,"tinto","2016"
"5717","Asinone Vino Nobile di Montepulciano 2012","Italy","Vino Nobile di Montepulciano","Poliziano",4.2,511,34.82,"tinto","2012"
"5718","V Reserva 2013","Spain","Rioja","Bodegas Faustino",3.8,5117,9.99,"tinto","2013"
"5719","Margaux (Grand Cru Classé) 2014","France","Margaux","Château Kirwan",4.1,512,52,"tinto","2014"
"5720","Saint-Estèphe 2013","France","Saint-Estèphe","Château Haut-Beauséjour",3.7,512,27.71,"tinto","2013"
"5721","Reserva 2014","Spain","Rioja","Cune (CVNE)",3.8,5121,13.1,"tinto","2014"
"5722","Le Volte 2017","Italy","Toscana","Ornellaia",3.9,5127,18.14,"tinto","2017"
"5723","La Tradizione Ruché di Castagnole Monferrato 2017","Italy","Monferrato","Montalbera",3.8,513,13.9,"tinto","2017"
"5724","Merlot 2017","South Africa","Durbanville","De Grendel",4,513,17.29,"tinto","2017"
